Date;Température min (°C);Température max (°C);Humidité (%);GDD;GDD cumulés
2024-01-01;-5.5;31.700000000000045;80.54237288135593;3.1000000000000227;3.1000000000000227
2024-01-02;-4.599999999999966;32.200000000000045;81.6821052631579;3.80000000000004;6.9000000000000625
2024-01-03;-2.0;31.200000000000045;79.44444444444444;4.600000000000023;11.500000000000085
2024-01-04;-4.899999999999977;31.700000000000045;79.0587002096436;3.400000000000034;14.90000000000012
2024-01-05;-6.699999999999989;30.900000000000034;82.99790356394129;2.1000000000000227;17.000000000000142
2024-01-06;-7.2999999999999545;30.5;81.66805845511482;1.6000000000000227;18.600000000000165
2024-01-07;-8.099999999999966;31.30000000000001;79.37974683544304;1.6000000000000227;20.200000000000188
2024-01-08;-6.2999999999999545;30.600000000000023;75.92194092827005;2.150000000000034;22.35000000000022
2024-01-09;-6.7999999999999545;30.700000000000045;77.55274261603375;1.9500000000000455;24.300000000000267
2024-01-10;-7.2999999999999545;31.100000000000023;79.70788912579957;1.900000000000034;26.2000000000003
2024-01-11;-8.5;31.900000000000034;81.13626834381552;1.700000000000017;27.90000000000032
2024-01-12;-9.0;31.900000000000034;80.68510638297872;1.450000000000017;29.350000000000335
2024-01-13;-10.199999999999989;30.80000000000001;83.74004192872117;0.30000000000001137;29.650000000000347
2024-01-14;-8.899999999999977;31.0;83.28;1.0500000000000114;30.700000000000358
2024-01-15;-5.699999999999989;30.600000000000023;82.00639658848614;2.450000000000017;33.150000000000375
2024-01-16;-9.5;30.30000000000001;82.1468085106383;0.4000000000000057;33.55000000000038
2024-01-17;-6.199999999999989;30.600000000000023;86.5247311827957;2.200000000000017;35.7500000000004
2024-01-18;-5.899999999999977;31.200000000000045;80.56289978678038;2.650000000000034;38.40000000000043
2024-01-19;-8.299999999999955;30.700000000000045;77.33475479744136;1.2000000000000455;39.60000000000048
2024-01-20;-12.099999999999966;31.400000000000034;76.24839400428266;0.0;39.60000000000048
2024-01-21;-8.399999999999977;30.5;76.61965811965813;1.0500000000000114;40.65000000000049
2024-01-22;-3.2999999999999545;30.400000000000034;78.21336206896552;3.55000000000004;44.20000000000053
2024-01-23;-4.399999999999977;29.900000000000034;82.28540305010893;2.7500000000000284;46.95000000000056
2024-01-24;-9.799999999999955;30.600000000000023;82.06451612903226;0.4000000000000341;47.35000000000059
2024-01-25;-5.7999999999999545;30.400000000000034;84.52370689655173;2.30000000000004;49.65000000000063
2024-01-26;-8.399999999999977;30.5;80.69957983193277;1.0500000000000114;50.70000000000064
2024-01-27;-4.699999999999989;31.100000000000023;80.23142250530786;3.200000000000017;53.90000000000066
2024-01-28;-3.5;30.700000000000045;78.6135881104034;3.6000000000000227;57.50000000000068
2024-01-29;-2.3999999999999773;30.5;81.13559322033899;4.050000000000011;61.55000000000069
2024-01-30;-9.5;32.30000000000001;80.19957983193277;1.4000000000000057;62.9500000000007
2024-01-31;-7.2999999999999545;32.30000000000001;81.55485232067511;2.5000000000000284;65.45000000000073
